Station,Longitude,Latitude,Route
Lalita Nagar,23.16539001,77.41527557,SR4
Nayapura Colony,23.17263985,77.41699219,SR4
Beema Kunj,23.17947769,77.41843414,SR4
Mahabali Nagar,23.18140984,77.40851593,SR4
Sarvadharma Colony,23.18905067,77.41722107,SR4
Nahar Puliya,23.20380783,77.41159058,SR4
Khushi Lal College,23.20633125,77.40326691,SR4
Sabri Nagar,23.20876503,77.3976593,SR4
Nehru Nagar,23.21052933,77.3948288,SR4
Kamla Nagar/ Kotra,23.21845055,77.39165497,SR4
Govt. Quarters,23.22070313,77.39237213,SR4
P&T Chouraha,23.22612762,77.39253235,SR4
City Depot,23.22879219,77.38852692,SR4
Jawahar Chowk,23.23161697,77.39391327,SR4
Rangmahal,23.23566055,77.39877319,SR4
Roshanpura,23.23756409,77.40115356,SR4
Old Vidhan Sabha,23.242836,77.40871429,SR4
Phq,23.24808693,77.41262817,SR4
Police Control Room,23.24339485,77.4096756,SR4
Jehangirabad,23.25225258,77.41423798,SR4
Lady Hospital,23.25993347,77.41261292,SR4
Ajabghar,23.25993347,77.41261292,SR4
Bharat Talkies,23.26047707,77.41085815,SR4
Alpana Tiraha,23.26436806,77.41020203,SR4
Sabji Mandi,23.26443863,77.40631866,SR4
Nadra Bus Stand,23.2652874,77.40531921,SR4
Bhopal Talkies,23.26757622,77.40079498,SR4
Sindi Colony,23.27091599,77.40044403,SR4
Kaji Camp,23.27482414,77.40249634,SR4
Dig Bunglow,23.27835083,77.40346527,SR4
Arif Nagar,23.28089714,77.40851593,SR4
Krishi Upaj Mandi,23.29141235,77.40353394,SR4
Housing Colony,23.2954483,77.40381622,SR4
Karound Chouraha,23.30279541,77.40448761,SR4
Bhopal Memorial Hs,23.30322456,77.41717529,SR4
Peoples College No.2,23.30254173,77.42285919,SR4
Peoples College No.1,23.30254173,77.42285919,SR4
Over Bridge Circal,23.27264977,77.46592712,SR4
Chiraiu Hospital,23.2658577,77.3105545,SR5
Nai Basti,23.29883385,77.34618378,SR5
Baisha Khedi,23.32309532,77.36976624,SR5
Bairagarh Kala,23.27388763,77.3223877,SR5
Bairagarh Station,23.27384949,77.33647919,SR5
Bairagarh Bus Staind,23.27164459,77.34195709,SR5
Halalpur Bus Staind,23.27383423,77.36322021,SR5
Lalghati,23.27306938,77.36846924,SR5
Vip Guest,23.27131844,77.37574005,SR5
Koh-E-Fiza,23.26911736,77.37727356,SR5
Collectorate,23.26358795,77.38312531,SR5
Sbi Chouraha,23.26187897,77.38874054,SR5
Royal Market,23.26150322,77.39205933,SR5
Gpo,23.26335526,77.39372253,SR5
Taj Mahal/Shahjanawad,23.26686478,77.39318848,SR5
Bhopal Talkies,23.26757622,77.40079498,SR5
Nadra Bus Stand,23.2652874,77.40531921,SR5
Sabji Mandi,23.26443863,77.40631866,SR5
Alpana Tiraha,23.26436806,77.41020203,SR5
Bharat Talkies,23.26047707,77.41085815,SR5
Ajabghar,23.25993347,77.41261292,SR5
Lady Hospital,23.25993347,77.41261292,SR5
Jehangirabad,23.25225258,77.41423798,SR5
Phq,23.24808693,77.41262817,SR5
Police Control Room,23.24339485,77.4096756,SR5
Old Vidhan Sabha,23.242836,77.40871429,SR5
Airtel Office (Malviya Nagar),23.24048996,77.40636444,SR5
Birla Mandir,23.2376461,77.4083786,SR5
New Vidhan Sabha,23.23908615,77.4129715,SR5
Vallabh Bhavan,23.23661804,77.41780853,SR5
New Court,23.23664093,77.42002869,SR5
Naramda Bhavan,23.23502922,77.42811584,SR5
D.B.Mall,23.23370171,77.43018341,SR5
Board Office(Milan),23.23130417,77.43261719,SR5
Jyoti Tlk. Top & Toun,23.23279381,77.4342804,SR5
Kasturba Nagar,23.23077965,77.44007874,SR5
Isbt,23.22909546,77.44200134,SR5
Duth Deri,23.22394371,77.44197083,SR5
Kasturba Hospital,23.2238903,77.44543457,SR5
Anna Nagar,23.2317276,77.44631958,SR5
Carrier College,23.23168945,77.45013428,SR5
Govindpura Thana,23.23186493,77.45454407,SR5
Bhel Gate – 6,23.23167801,77.45968628,SR5
Vijay Market,23.228899,77.46619415,SR5
Mahatma Gandhi Chouraha,23.2319088,77.47199249,SR5
Ayappa Mandir,23.23133659,77.47647095,SR5
Saint Xavier School,23.2303772,77.48091125,SR5
Avadhpuri,23.23015022,77.48556519,SR5
Shiv Mandir,23.22933197,77.49030304,SR5
Avadhpuri Vidyasagar College,23.22767639,77.49562836,SR5
Rajeev Gandhi College,23.18857765,77.43373108,SR6
Gulmohar,23.18884468,77.43621063,SR6
Trilanga,23.19367027,77.43278503,SR6
Saitansingh Market,23.1993103,77.43023682,SR6
Campion School,23.20632362,77.43114471,SR6
Vitthal Market/1100 Q.Chu.,23.21149635,77.43119812,SR6
Baghira Apartment,23.21415901,77.43048859,SR6
Habibganj Thana,23.21846581,77.42897797,SR6
Bittan Mkt/Dhsera Maidan,23.22214699,77.43122864,SR6
Subhash School,23.22320938,77.42995453,SR6
Nutan College,23.22400856,77.42840576,SR6
5 No.Stop,23.22588158,77.42282867,SR6
1250/ Pranami Mandir,23.2259903,77.41833496,SR6
Narmada Bhawan,23.22496796,77.412323,SR6
Jain Mandir,23.22532845,77.40740204,SR6
Mata Mandir,23.22461319,77.40226746,SR6
Teen Shed,23.23191643,77.40145874,SR6
Rangmahal (Gtb Complex),23.2356739,77.39878845,SR6
Roshanpura,23.23756409,77.40115356,SR6
Airtel Office (Malviya Nagar),23.24048996,77.40636444,SR6
Birla Mandir,23.2376461,77.4083786,SR6
New Vidhan Sabha,23.23908615,77.4129715,SR6
Naramda Bhavan,23.23502922,77.42811584,SR6
