23.265857696533203,77.310554504394530,Chiraiu Hospital
23.298833847045900,77.346183776855470,Nai Basti
23.323095321655273,77.369766235351560,Baisha Khedi
23.273887634277344,77.322387695312500,Bairagarh Kala
23.273849487304688,77.336479187011720,Bairagarh R/Station
23.271644592285156,77.341957092285160,Bairagarh Bus Stand
23.273265838623047,77.363990783691400,Halalpur Bus Stand
23.273069381713867,77.368469238281250,Lalghati
23.271318435668945,77.375740051269530,Vip Guest
23.269117355346680,77.377273559570310,Koh-E-Fiza
23.263587951660156,77.383125305175780,Collectorate
23.261878967285156,77.388740539550780,Sbi Chouraha
23.261503219604492,77.392059326171880,Royal Market
23.259136199951172,77.398452758789060,Peergate
23.255922317504883,77.398574829101560,Moti Masjid
23.251966476440430,77.397895812988280,Kamla Park
23.244577407836914,77.396842956542970,Polytechnic
23.242650985717773,77.397483825683600,Rang Mahal
23.237564086914062,77.401153564453120,Roshanpura
23.235168457031250,77.401374816894530,New Market,Top&Town
23.232707977294922,77.411605834960940,Prakash Tarun Pushkar
23.231462478637695,77.415855407714840,1250 Hospital
23.231266021728516,77.421539306640620,Congress Bhawan
23.230791091918945,77.427734375000000,Vyapam
23.230175018310547,77.432792663574220,Board Office (Zone-2)
23.227025985717773,77.435470581054690,Sargam Talkies
23.221269607543945,77.442039489746100,Habibganj R/Station
23.216146469116210,77.441871643066400,Habibganj Naka
23.221269607543945,77.442039489746100,Habibganj R/Station
23.223369598388672,77.436340332031250,Bjp Office
23.228061676025390,77.434509277343750,7 No. Stop
23.223209381103516,77.429954528808600,Subhash School
23.222146987915040,77.431228637695310,Bittan Mkt/Dhsera Maidan
23.218465805053710,77.428977966308600,Habibganj Thana
23.214624404907227,77.431266784667970,Baas Khedi
23.211496353149414,77.431198120117190,Vitthal Market/1100 Q.Chu.
23.210000991821290,77.436508178710940,11 No. Stop
23.206928253173828,77.436920166015620,Sai Board
23.202878952026367,77.437370300292970,12 No. Stop
23.193380355834960,77.440605163574220,Ishwar Nagar
23.192611694335938,77.435630798339840,Savoi Complex
23.186826705932617,77.436721801757810,Nehar
23.184602737426758,77.437744140625000,Tilak Nagar
23.177732467651367,77.437744140625000,Indus Garden
23.170728683471680,77.442855834960940,Rohit Nagar Ph-Ii
23.169095993041992,77.442108154296880,Aakriti Eco City
