id,station,latitude,longitude,route,link
SR2-21,Habibganj Naka,23.21614647,77.44187164,SR2,"https://www.google.com/maps/place/23.21614647,77.44187164"
SR2-22,Rrl,23.21052742,77.44392395,SR2,"https://www.google.com/maps/place/23.21052742,77.44392395"
SR2-23,Narayan Nagar,23.20410919,77.44606018,SR2,"https://www.google.com/maps/place/23.20410919,77.44606018"
SR2-24,University,23.1991787,77.44781494,SR2,"https://www.google.com/maps/place/23.1991787,77.44781494"
SR2-25,Vidya Nagar,23.19544601,77.44924927,SR2,"https://www.google.com/maps/place/23.19544601,77.44924927"
SR2-26,Nikhil Homes,23.1860981,77.45415497,SR2,"https://www.google.com/maps/place/23.1860981,77.45415497"
SR2-27,Vrindavan Dawa,23.17489243,77.46015167,SR2,"https://www.google.com/maps/place/23.17489243,77.46015167"
SR2-28,Jatkhedi,23.16836929,77.46434784,SR2,"https://www.google.com/maps/place/23.16836929,77.46434784"
SR2-29,Misrod,23.16177368,77.46949005,SR2,"https://www.google.com/maps/place/23.16177368,77.46949005"
SR2-30,Scope Collage,23.15298653,77.47598267,SR2,"https://www.google.com/maps/place/23.15298653,77.47598267"
SR2-31,11 Miles,23.14868927,77.47901917,SR2,"https://www.google.com/maps/place/23.14868927,77.47901917"
SR2-32,Fun City,23.1418457,77.48423004,SR2,"https://www.google.com/maps/place/23.1418457,77.48423004"
SR2-33,Indus Town,23.13746643,77.48442078,SR2,"https://www.google.com/maps/place/23.13746643,77.48442078"
SR2-34,Samardha,23.11799049,77.50205231,SR2,"https://www.google.com/maps/place/23.11799049,77.50205231"
SR3-1,Nariyal Kheda I,23.28458023,77.39729309,SR3,"https://www.google.com/maps/place/23.28458023,77.39729309"
SR3-2,Nariyal Kheda Ii,23.28339767,77.39651489,SR3,"https://www.google.com/maps/place/23.28339767,77.39651489"
SR3-3,Miltri Gate,23.28057861,77.39465332,SR3,"https://www.google.com/maps/place/23.28057861,77.39465332"
SR3-4,Tila Jamal Pura,23.28057861,77.39743805,SR3,"https://www.google.com/maps/place/23.28057861,77.39743805"
SR3-5,Gitanjali College,23.28072548,77.39923096,SR3,"https://www.google.com/maps/place/23.28072548,77.39923096"
SR3-6,Jawahar Lal Nehru Hos,23.27911949,77.40231323,SR3,"https://www.google.com/maps/place/23.27911949,77.40231323"
SR3-7,Dig Bunglow,23.27835083,77.40346527,SR3,"https://www.google.com/maps/place/23.27835083,77.40346527"
SR3-8,Kaji Camp,23.27482414,77.40249634,SR3,"https://www.google.com/maps/place/23.27482414,77.40249634"
SR3-9,Sindi Colony,23.27091599,77.40044403,SR3,"https://www.google.com/maps/place/23.27091599,77.40044403"
SR3-10,Bhopal Talkies,23.26757622,77.40079498,SR3,"https://www.google.com/maps/place/23.26757622,77.40079498"
